source,setting,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz,nmi_vs_cat34,ari_vs_cat34,va_spread
brain.swift,kmeans_K50,50,0,0.07081279158592224,2.049734270798827,139.03559576968001,0.10085729751157657,0.003062682659273742,1.3719059228897095
brain.swift,kmeans_K6,6,0,0.148014634847641,1.5441763518950282,574.7721971830064,0.024093978286083263,0.008670040047052859,1.4324268102645874
brain.swift,kmeans_K7,7,0,0.1420467346906662,1.6155316356482883,521.8930948948018,0.029110441454082075,0.012335502029101553,1.431548833847046
brain.swift,kmeans_K8,8,0,0.13835003972053528,1.5926140408479128,481.5867620731594,0.0302773368921839,0.008712075240506678,1.427107572555542
brain.swift,kmeans_K9,9,0,0.12739640474319458,1.6408605369897584,444.6439471367778,0.0329188255105204,0.008416723969200613,1.4233365058898926
video.clip,agglomerative_ward_K10,10,0,0.040985818952322006,3.2738883164094035,65.07910457451057,0.29365409052144764,0.13877143813675738,1.2913447618484497
video.clip,agglomerative_ward_K11,11,0,0.04452825337648392,3.272468906691049,62.88935205079783,0.30074819898227345,0.13874813641119205,1.2899953126907349
video.clip,agglomerative_ward_K12,12,0,0.0468924455344677,3.1821960562139213,60.25366063005743,0.3090395597074025,0.14028343850591724,1.2955979108810425
video.clip,agglomerative_ward_K13,13,0,0.050563860684633255,3.186611509742102,58.09149354611128,0.3137657412342492,0.146067248315107,1.2930279970169067
video.clip,agglomerative_ward_K14,14,0,0.05340820923447609,3.123725348887445,56.16700325497793,0.3259398313007759,0.15170881595803018,1.2917934656143188
video.clip,agglomerative_ward_K15,15,0,0.055890776216983795,3.128953837664961,54.11016159882812,0.33345391872022917,0.15995650022158242,1.2960600852966309
video.clip,agglomerative_ward_K16,16,0,0.05649826303124428,3.074784568014596,52.33457519641358,0.3333528228309505,0.1539485395054581,1.2905805110931396
video.clip,agglomerative_ward_K17,17,0,0.05820506438612938,3.0082209956833172,50.7833475628952,0.3361303901587273,0.15377769540448585,1.2760021686553955
video.clip,agglomerative_ward_K18,18,0,0.04881475120782852,3.0713879772917982,49.421303091982715,0.3361048734302693,0.14029793858475503,1.2793678045272827
video.clip,agglomerative_ward_K19,19,0,0.050118111073970795,3.0511859704840543,48.1014452075137,0.3429653563425043,0.1426343799778922,1.2693891525268555
video.clip,agglomerative_ward_K2,2,0,0.04764169827103615,4.1533859254094825,120.98454269084273,0.09685280275736707,0.04007655979227619,1.434391975402832
video.clip,agglomerative_ward_K20,20,0,0.05006014183163643,3.0464695686788184,46.80006213749201,0.3444441365610624,0.13584600951571704,1.2671096324920654
video.clip,agglomerative_ward_K21,21,0,0.050753239542245865,3.0747904417880574,45.64305171218439,0.34238919369301635,0.11199563177322672,1.259997010231018
video.clip,agglomerative_ward_K22,22,0,0.05139550939202309,3.048742257852283,44.58632614166188,0.344478767219483,0.11073152956075218,1.2525784969329834
video.clip,agglomerative_ward_K23,23,0,0.053049150854349136,2.9997605379175805,43.63050630500377,0.34923718065772197,0.11183457785289302,1.2245250940322876
video.clip,agglomerative_ward_K24,24,0,0.054460134357213974,3.0143561710979605,42.616065070503986,0.3513331133186182,0.11432494505667883,1.2237614393234253
video.clip,agglomerative_ward_K25,25,0,0.05648983642458916,2.988064882653289,41.66533155044273,0.3518129036427988,0.1144435810093283,1.226189374923706
video.clip,agglomerative_ward_K26,26,0,0.058225370943546295,2.9621236279339844,40.757124911211115,0.355120687195653,0.11798740115815701,1.2225065231323242
video.clip,agglomerative_ward_K27,27,0,0.05604373291134834,2.943840940874683,39.92651259877211,0.3562772731972233,0.11521116791830648,1.2172685861587524
video.clip,agglomerative_ward_K28,28,0,0.05765848234295845,2.9117558271406585,39.121247174258556,0.35848380302444705,0.11605457300338522,1.2231048345565796
video.clip,agglomerative_ward_K29,29,0,0.055910978466272354,2.9078152191440116,38.38067279219364,0.3589154745449255,0.1142399914885813,1.209776520729065
video.clip,agglomerative_ward_K3,3,0,0.057713549584150314,3.7563548731701744,114.28307542920378,0.18271046742936414,0.07641379547120303,1.41035795211792
video.clip,agglomerative_ward_K30,30,0,0.05422231927514076,2.8724154146134158,37.6878031022062,0.3589923144541366,0.11275973888967974,1.1908705234527588
video.clip,agglomerative_ward_K31,31,0,0.05518375709652901,2.849411829970187,37.022936519843775,0.36084899259631653,0.11373086461152203,1.1899937391281128
video.clip,agglomerative_ward_K32,32,0,0.053965743631124496,2.827033173801905,36.39364779265973,0.3593016003815456,0.10132659530733368,1.1806142330169678
video.clip,agglomerative_ward_K33,33,0,0.05518649145960808,2.8348968186666337,35.78001826004137,0.3601697989400379,0.1018912077474814,1.1807576417922974
video.clip,agglomerative_ward_K34,34,0,0.05204630270600319,2.829873958628667,35.184184576631694,0.35969308208410544,0.10234410038854524,1.1761842966079712
video.clip,agglomerative_ward_K35,35,0,0.05330127850174904,2.8008635720297663,34.58694223248239,0.3627290494886406,0.10268227414415772,1.15471613407135
video.clip,agglomerative_ward_K36,36,0,0.05420970916748047,2.789294634093473,34.01710076084137,0.36564892472745675,0.1033759254580488,1.148484230041504
video.clip,agglomerative_ward_K37,37,0,0.055206503719091415,2.837103898895962,33.48076430760075,0.3678397071822042,0.10356593008801028,1.1514346599578857
video.clip,agglomerative_ward_K38,38,0,0.05447539687156677,2.8714854893165724,32.974884627581936,0.37059907584282686,0.10289013113336076,1.1541470289230347
video.clip,agglomerative_ward_K39,39,0,0.05491030216217041,2.8683239215728626,32.48756946197023,0.3710922410306809,0.10279680957408635,1.1556322574615479
video.clip,agglomerative_ward_K4,4,0,0.039504844695329666,3.4948157189737326,98.62937776981049,0.1925554644142971,0.046694466886101946,1.38616943359375
video.clip,agglomerative_ward_K40,40,0,0.05606311559677124,2.840053508212713,32.011623237734604,0.3713632187706786,0.10272369491820617,1.1543152332305908
video.clip,agglomerative_ward_K41,41,0,0.054967109113931656,2.817093954524988,31.53980944451311,0.37210544691708486,0.10284240993218464,1.1546887159347534
video.clip,agglomerative_ward_K42,42,0,0.05517971143126488,2.8216146081869455,31.086349400608125,0.3716012204700539,0.09688444412111087,1.1515538692474365
video.clip,agglomerative_ward_K43,43,0,0.051286324858665466,2.8023597380836685,30.655304513370695,0.3710244653568672,0.09393384748050367,1.161426305770874
video.clip,agglomerative_ward_K44,44,0,0.052235472947359085,2.7865756327756426,30.231476402115455,0.37144486271513105,0.09380542798922445,1.1626602411270142
video.clip,agglomerative_ward_K45,45,0,0.05308500677347183,2.7617690012246925,29.822550531030053,0.37239390475056217,0.09332326422415292,1.1533267498016357
video.clip,agglomerative_ward_K46,46,0,0.053370870649814606,2.7544903936707117,29.430855604455008,0.3724162957499878,0.09226053294409196,1.1486858129501343
