setting,video,brain,nmi,ari,n_video_clusters,n_brain_clusters
agglomerative_ward_K31,video.clip,brain.brain_jepa,0.1116043019080811,0.010244695267062403,31,31
agglomerative_ward_K31,video.clip,brain.swift,0.08142020799667986,0.004185450562703419,31,31
agglomerative_ward_K32,video.vjepa2,brain.roi_mean,0.13540394324748248,0.014141544643883347,32,32
agglomerative_ward_K32,video.vjepa2,brain.brain_jepa,0.09947839067714559,0.005859472675100972,32,32
agglomerative_ward_K32,video.vjepa2,brain.swift,0.07953997778466047,0.0019144457634335769,32,32
agglomerative_ward_K32,video.clip,brain.roi_mean,0.16209721500532684,0.02311690281314334,32,32
agglomerative_ward_K32,video.clip,brain.brain_jepa,0.11544050488292765,0.010385171746405212,32,32
agglomerative_ward_K32,video.clip,brain.swift,0.08435388168052296,0.004345816455148017,32,32
agglomerative_ward_K33,video.vjepa2,brain.roi_mean,0.13951958919372492,0.014320581275157292,33,33
agglomerative_ward_K33,video.vjepa2,brain.brain_jepa,0.10357397013790748,0.006108542288417584,33,33
agglomerative_ward_K33,video.vjepa2,brain.swift,0.08396112818048583,0.0021048775417405593,33,33
agglomerative_ward_K33,video.clip,brain.roi_mean,0.1679082247449621,0.023817953643168348,33,33
agglomerative_ward_K33,video.clip,brain.brain_jepa,0.1204493843609134,0.010542760885620646,33,33
agglomerative_ward_K33,video.clip,brain.swift,0.08825401676962201,0.004205592733734023,33,33
agglomerative_ward_K34,video.vjepa2,brain.roi_mean,0.1431228639889517,0.013254108498989302,34,34
agglomerative_ward_K34,video.vjepa2,brain.brain_jepa,0.10807711027327824,0.006122817000958037,34,34
agglomerative_ward_K34,video.vjepa2,brain.swift,0.08906865330198134,0.0024687056297845356,34,34
agglomerative_ward_K34,video.clip,brain.roi_mean,0.1696517133488515,0.021308808039402577,34,34
agglomerative_ward_K34,video.clip,brain.brain_jepa,0.12359939087556916,0.010367566880902528,34,34
agglomerative_ward_K34,video.clip,brain.swift,0.09320678479591862,0.004581810382177857,34,34
agglomerative_ward_K35,video.vjepa2,brain.roi_mean,0.14658654645203156,0.01302533869723641,35,35
agglomerative_ward_K35,video.vjepa2,brain.brain_jepa,0.11218047493979738,0.0059973353306857205,35,35
agglomerative_ward_K35,video.vjepa2,brain.swift,0.09250023635231597,0.0028785672281741543,35,35
agglomerative_ward_K35,video.clip,brain.roi_mean,0.17269158566475537,0.020879323185613325,35,35
agglomerative_ward_K35,video.clip,brain.brain_jepa,0.12708846332907636,0.009966072325670046,35,35
agglomerative_ward_K35,video.clip,brain.swift,0.0965300695377001,0.004560187648636021,35,35
agglomerative_ward_K36,video.vjepa2,brain.roi_mean,0.15101906599397533,0.013310332755381448,36,36
agglomerative_ward_K36,video.vjepa2,brain.brain_jepa,0.11756305541566266,0.005982899818491124,36,36
agglomerative_ward_K36,video.vjepa2,brain.swift,0.09414384082916516,0.0015753960818160214,36,36
agglomerative_ward_K36,video.clip,brain.roi_mean,0.17587820065319282,0.021858592350664327,36,36
agglomerative_ward_K36,video.clip,brain.brain_jepa,0.1300694070253297,0.009595922562953675,36,36
agglomerative_ward_K36,video.clip,brain.swift,0.10054593657738836,0.0040827093650586165,36,36
agglomerative_ward_K37,video.vjepa2,brain.roi_mean,0.15616954081293852,0.013905751423968186,37,37
agglomerative_ward_K37,video.vjepa2,brain.brain_jepa,0.12151435677320606,0.006012372506692334,37,37
agglomerative_ward_K37,video.vjepa2,brain.swift,0.09757202075695372,0.0014254187064381687,37,37
agglomerative_ward_K37,video.clip,brain.roi_mean,0.1793694979509354,0.022205837576103442,37,37
agglomerative_ward_K37,video.clip,brain.brain_jepa,0.13411947377694977,0.009841734191769138,37,37
agglomerative_ward_K37,video.clip,brain.swift,0.10474355376031316,0.0036894288537464167,37,37
agglomerative_ward_K38,video.vjepa2,brain.roi_mean,0.162153342996353,0.014066306369175734,38,38
agglomerative_ward_K38,video.vjepa2,brain.brain_jepa,0.12580750344644043,0.006194383049279081,38,38
agglomerative_ward_K38,video.vjepa2,brain.swift,0.10046978283976868,0.00121294037566863,38,38
agglomerative_ward_K38,video.clip,brain.roi_mean,0.18667964100052958,0.023740572027748423,38,38
agglomerative_ward_K38,video.clip,brain.brain_jepa,0.13843118899908946,0.009545038500492015,38,38
agglomerative_ward_K38,video.clip,brain.swift,0.10775828320702503,0.0036037901410108796,38,38
agglomerative_ward_K39,video.vjepa2,brain.roi_mean,0.16902595510998686,0.015363341346398083,39,39
agglomerative_ward_K39,video.vjepa2,brain.brain_jepa,0.1300175415033858,0.006971794522584555,39,39
agglomerative_ward_K39,video.vjepa2,brain.swift,0.104705299927788,0.0016379540584455638,39,39
agglomerative_ward_K39,video.clip,brain.roi_mean,0.19249406758739548,0.024561115435928493,39,39
agglomerative_ward_K39,video.clip,brain.brain_jepa,0.14192144307005983,0.009718114369328497,39,39
agglomerative_ward_K39,video.clip,brain.swift,0.1136650903870354,0.004044751683314227,39,39
agglomerative_ward_K4,video.vjepa2,brain.roi_mean,0.010542757179771142,0.007580857218696444,4,4
agglomerative_ward_K4,video.vjepa2,brain.brain_jepa,0.004647590420184684,0.0039901685559281825,4,4
agglomerative_ward_K4,video.vjepa2,brain.swift,0.009592856058478682,0.007318678182541421,4,4
agglomerative_ward_K4,video.clip,brain.roi_mean,0.022649684110864605,0.009289039395452114,4,4
agglomerative_ward_K4,video.clip,brain.brain_jepa,0.009384755447532096,-0.004151054568372366,4,4
agglomerative_ward_K4,video.clip,brain.swift,0.006555606604803194,0.0030011083085508348,4,4
agglomerative_ward_K40,video.vjepa2,brain.roi_mean,0.1733696814354663,0.01603082363820028,40,40
agglomerative_ward_K40,video.vjepa2,brain.brain_jepa,0.13455909987054848,0.0072149895961417885,40,40
agglomerative_ward_K40,video.vjepa2,brain.swift,0.10792684543670514,0.0014276183700895678,40,40
agglomerative_ward_K40,video.clip,brain.roi_mean,0.19884811478634484,0.025622433860564644,40,40
agglomerative_ward_K40,video.clip,brain.brain_jepa,0.14721386122031432,0.009944953740503663,40,40
agglomerative_ward_K40,video.clip,brain.swift,0.11767730170397814,0.0041418955532854015,40,40
agglomerative_ward_K41,video.vjepa2,brain.roi_mean,0.17569515236556843,0.014973506053159108,41,41
agglomerative_ward_K41,video.vjepa2,brain.brain_jepa,0.13830273256349426,0.0071502384296851865,41,41
agglomerative_ward_K41,video.vjepa2,brain.swift,0.11223862943499907,0.0013718566224404213,41,41
agglomerative_ward_K41,video.clip,brain.roi_mean,0.20363635914614314,0.025495741938295957,41,41
agglomerative_ward_K41,video.clip,brain.brain_jepa,0.1514610642568287,0.010166409835883133,41,41
agglomerative_ward_K41,video.clip,brain.swift,0.12245973456461683,0.00415624342439045,41,41
agglomerative_ward_K42,video.vjepa2,brain.roi_mean,0.17899411028950288,0.015363633460614482,42,42
agglomerative_ward_K42,video.vjepa2,brain.brain_jepa,0.14084454117372938,0.007221877393037632,42,42
agglomerative_ward_K42,video.vjepa2,brain.swift,0.11453817370267749,0.001425818570736225,42,42
agglomerative_ward_K42,video.clip,brain.roi_mean,0.20893803364170363,0.026021178091986258,42,42
agglomerative_ward_K42,video.clip,brain.brain_jepa,0.1559602778570853,0.00980189291331764,42,42
agglomerative_ward_K42,video.clip,brain.swift,0.12701091915244186,0.004245163334618743,42,42
agglomerative_ward_K43,video.vjepa2,brain.roi_mean,0.18339460214577474,0.015915282615105455,43,43
agglomerative_ward_K43,video.vjepa2,brain.brain_jepa,0.14775952409301557,0.00788385231773171,43,43
agglomerative_ward_K43,video.vjepa2,brain.swift,0.11936858845119984,0.0016383032859912975,43,43
agglomerative_ward_K43,video.clip,brain.roi_mean,0.21209996345804358,0.0254542451357254,43,43
agglomerative_ward_K43,video.clip,brain.brain_jepa,0.16014493621284145,0.009614515789905565,43,43
agglomerative_ward_K43,video.clip,brain.swift,0.13115586764773618,0.004147636041052389,43,43
agglomerative_ward_K44,video.vjepa2,brain.roi_mean,0.1877036898348601,0.016123955437508466,44,44
agglomerative_ward_K44,video.vjepa2,brain.brain_jepa,0.1507404496782076,0.0077138266893167174,44,44
agglomerative_ward_K44,video.vjepa2,brain.swift,0.12408303464665882,0.0016229977285626908,44,44
agglomerative_ward_K44,video.clip,brain.roi_mean,0.2171151726210492,0.02570292973800977,44,44
agglomerative_ward_K44,video.clip,brain.brain_jepa,0.16300705617831676,0.009561219726375785,44,44
agglomerative_ward_K44,video.clip,brain.swift,0.13614406516823974,0.0043620214102295055,44,44
agglomerative_ward_K45,video.vjepa2,brain.roi_mean,0.19213954693029478,0.01616486147371062,45,45
agglomerative_ward_K45,video.vjepa2,brain.brain_jepa,0.15582073892574955,0.007765565672599899,45,45
agglomerative_ward_K45,video.vjepa2,brain.swift,0.12707944151848602,0.001588315114649219,45,45
agglomerative_ward_K45,video.clip,brain.roi_mean,0.2201959388912453,0.025763119236842245,45,45
agglomerative_ward_K45,video.clip,brain.brain_jepa,0.16638587699148832,0.009275462846024525,45,45
