subject,fold,component,heldout_correlation,train_singular_value,fold_empirical_p
4,1,13,0.13096247040719508,0.4451735842899583,
4,1,14,0.13219870967627184,0.4366869503861671,
4,1,15,0.165205863680768,0.42340322649501777,
4,1,16,0.15486852720021566,0.4200449958361207,
4,1,17,0.04516208672150962,0.41184918184122193,
4,1,18,0.05759913556357091,0.4006357509888169,
4,1,19,-0.004814657560323334,0.39294647108639524,
4,1,20,0.0017267902141989272,0.3888832545332571,
4,2,1,0.7046518541538794,0.7627324789970638,
4,2,2,0.6607677482823605,0.7093715911972968,
4,2,3,0.5147174100359583,0.6856100981328371,
4,2,4,0.488517573139275,0.6328057969580639,
4,2,5,0.3795785071020095,0.5710160310165826,
4,2,6,0.36067734658976525,0.5618137639000049,
4,2,7,0.1907301065263356,0.5150300033634404,
4,2,8,0.28353773149993766,0.505583924685269,
4,2,9,0.18874576944465407,0.4979566648134198,
4,2,10,0.1888572109484212,0.48554886574724965,
4,2,11,0.19015704819236412,0.4636815408179646,
4,2,12,0.17729716951869257,0.4555843549854847,
4,2,13,0.13503693355340982,0.450441566263059,
4,2,14,0.1089497503172979,0.4347401866885122,
4,2,15,0.16947358073414856,0.4318059185215891,
4,2,16,0.10065010130399227,0.4159366056419125,
4,2,17,0.15432305739217372,0.40886935699960325,
4,2,18,0.026731074269223016,0.4074911830468121,
4,2,19,0.1330718829218886,0.3928204933569093,
4,2,20,0.08485394373157175,0.3917328469488449,
4,3,1,0.659370566266688,0.7705868403721942,
4,3,2,0.6353601129609424,0.7146541697366398,
4,3,3,0.5466419698080295,0.6890939194612155,
4,3,4,0.5042268007103073,0.6210401980996427,
4,3,5,0.40180141061310265,0.5738410701777089,
4,3,6,0.3665754944614176,0.5595895615706505,
4,3,7,0.2231054337197908,0.5239596313930883,
4,3,8,0.2499925982016316,0.5101276161465766,
4,3,9,0.24020860766095384,0.49754462330740545,
4,3,10,0.19549481991471207,0.47255372567984,
4,3,11,0.19910526147755817,0.4666038762156134,
4,3,12,0.16736745986490456,0.4524781445941484,
4,3,13,0.13458066073698174,0.4447691131097224,
4,3,14,0.10966762198769789,0.438545033463237,
4,3,15,0.06307449067944566,0.42328701388428835,
4,3,16,0.08583269648420368,0.4150064361894698,
4,3,17,0.07581527331037718,0.4051079339605889,
4,3,18,0.00471409198127114,0.4004625006408939,
4,3,19,0.13794172658651857,0.39300039773204526,
4,3,20,0.029734628630340484,0.3891822713153262,
4,4,1,0.684537584194855,0.7632078643170206,
4,4,2,0.5661985070046393,0.730600532900704,
4,4,3,0.5777524041113846,0.681221786114278,
4,4,4,0.4769264149796331,0.6283901470251634,
4,4,5,0.31186788848653163,0.5727661693358955,
4,4,6,0.41179954612528924,0.56261911350427,
4,4,7,0.22562809907964002,0.5289103092090495,
4,4,8,0.15990499666046779,0.5030622823843539,
4,4,9,0.2450096530266344,0.4858318636434762,
4,4,10,0.0964787829461436,0.4737757060192219,
4,4,11,0.17656108829775274,0.470090618764249,
4,4,12,0.1301343676282325,0.45835991638139667,
4,4,13,0.17687421740711035,0.4468675947461723,
4,4,14,0.09568559259590746,0.4377351580180679,
4,4,15,0.09403364951076384,0.433886914529245,
4,4,16,0.16176493179685705,0.41454526944976694,
4,4,17,0.08359311811420095,0.4044560426069498,
4,4,18,0.0657718257622134,0.3986257601057981,
4,4,19,-0.014407485601342387,0.39412027509121456,
4,4,20,0.09974058422429546,0.38670211196346294,
4,5,1,0.6758816414210225,0.7695444128379892,
4,5,2,0.5947773864470823,0.7173831249706492,
4,5,3,0.5709354820387812,0.6848941141720389,
4,5,4,0.43234220160147885,0.6364412125858064,
4,5,5,0.32404450834047505,0.5754477557588973,
4,5,6,0.44039010161271847,0.5458574908756116,
4,5,7,0.2605462103287484,0.5212460133286277,
4,5,8,0.25318594066587763,0.5140853960410656,
4,5,9,0.22008765850517178,0.4936548865773793,
4,5,10,0.1493332159459675,0.47547101817208715,
4,5,11,0.24875215783305113,0.46321985887901357,
4,5,12,0.031221533316347583,0.450690391410202,
4,5,13,0.08149720838039529,0.4361233206081889,
4,5,14,0.1975297967220602,0.4349326887711466,
4,5,15,-0.013689073019327917,0.43114277417769314,
4,5,16,0.02014090813993639,0.4095082955994495,
4,5,17,0.07412943207757734,0.40616291500316054,
4,5,18,0.0914780638013709,0.40010493473593317,
4,5,19,0.060268626492898186,0.39286295939145105,
4,5,20,0.08678771161252914,0.3842198844048873,
5,1,1,0.675196480190123,0.7823830394896362,
5,1,2,0.6201307127933138,0.736990377227502,
5,1,3,0.5976780094445557,0.7103633109917556,
5,1,4,0.48214889354779833,0.6411275157039951,
5,1,5,0.39218050859394155,0.5951146347769509,
5,1,6,0.3749309932051913,0.5759916264343158,
5,1,7,0.18216380398747498,0.5258145585329914,
5,1,8,0.27212617587839016,0.5101046182945238,
5,1,9,0.18606997949563947,0.5023435030664896,
5,1,10,0.17573340853172684,0.4810805950807144,
5,1,11,0.11740128937184399,0.473581074278078,
5,1,12,0.09525643564267286,0.4547179650417816,
5,1,13,0.18588866635448223,0.44650797499526845,
5,1,14,0.11623290288426308,0.4376981864459028,
5,1,15,0.05225097312951766,0.4262195527450648,
5,1,16,0.07019387599081368,0.4163107764364429,
