parcel,network,principal_gradient_1,shared,shared_sem_subject,unique_e34_shared,unique_e34_shared_sem_subject,unique_av_shared,unique_av_shared_sem_subject,fine_grained_advantage,fine_grained_advantage_sem_subject,video,video_sem_subject,unique_e34_video,unique_e34_video_sem_subject,unique_av_video,unique_av_video_sem_subject
21,Vis,0.005492144985575163,0.030044692130072104,0.0128223360395341,0.012787389776460923,0.007814003751657958,0.003919504247269212,0.003354019538791517,0.00886788552919171,0.004619681966279006,0.03638284258756701,0.016385348683199793,0.007315577251359029,0.006803120549763598,0.004503238876654647,0.0030143902227164746
22,Vis,0.005673102787660827,0.031314242923333846,0.011897309364002519,0.009413917324970966,0.008522963317969954,0.005384840790373646,0.003800938740130808,0.00402907653459732,0.005581250934420974,0.033086739664045205,0.01671591418771324,0.00402122014460411,0.006660323143994196,0.004266955743460055,0.002984746642214545
23,Vis,-0.013853547252747681,0.07143356835948636,0.031064947234023647,-0.0006987444379005003,0.00984322889156188,0.003910480330530497,0.002111198086590221,-0.004609224768430997,0.008348788734956682,0.07392184990399957,0.028583471218912148,0.0022579583674297464,0.00454548186969679,0.0031930259375023253,0.0017586220207909354
24,Vis,-0.0003517668724012591,0.061146598271660094,0.034609368920439754,0.008852921636163202,0.010091334383742408,0.005582778850031378,0.002732183925347164,0.0032701427861318243,0.009058808858706571,0.07419722631731258,0.03935045213680763,0.0052261167663784965,0.006901682033393878,0.004727359487594662,0.0022528353502134636
25,Vis,0.001775475605833709,0.028537010711942323,0.008371961773306923,0.011785424248517029,0.004389076898558257,0.005355528424397016,0.001956007592020845,0.006429895824120013,0.0032057782201279786,0.026273815971322455,0.007922823790619414,0.004699438713840464,0.00420184609699844,0.003873403359278038,0.001170786551260343
26,Vis,0.005258032899666066,0.020297509066181108,0.012142152957017895,0.006737875014376393,0.006752691339303307,0.006806744753219229,0.003225810729255047,-6.88697388428361e-05,0.003914425354519132,0.01014148055196793,0.010977191561466718,0.003462184135153068,0.007543901664421979,0.005309871869402483,0.0024568609615167156
27,Vis,0.005896451779281862,0.026851476411817465,0.008503500697251608,0.012353191622022596,0.006249006605324736,0.008542587961062064,0.0025985603392465135,0.003810603660960532,0.004193886671362163,0.015543877963618846,0.008117608817480693,0.008693826902602942,0.006094960312339278,0.006877025448324403,0.0022860074589266532
28,Vis,-0.002823299330136365,0.0372122913058484,0.007169847552824496,0.0120549429551557,0.007737365127040788,0.010163226923537416,0.005820880190176847,0.0018917160316182847,0.0029443753434911847,0.029822546035908948,0.011132110633874308,0.009144493075745075,0.006262452719024104,0.006848197380485921,0.004274400181640205
29,Vis,0.006016578567281696,0.025879133873141245,0.007937604748855718,0.013955350245961307,0.007788464149717079,0.009559671453546303,0.004093563153374875,0.0043956787924150035,0.004308301926754647,0.01568424207982073,0.010008225035454522,0.008363663080615358,0.006616959753364072,0.006850538611863355,0.002326341123801984
30,Vis,0.004629741490719475,0.02550188107240048,0.005906152071988109,0.012580033805655177,0.006174796154405494,0.00946401303849509,0.003316240968920815,0.0031160207671600882,0.0029912830317536726,0.020148349646124976,0.0061926616032076534,0.006922174221493593,0.005670725406763407,0.006746648798279531,0.0025278721987852595
31,Vis,0.005967502704608958,0.022637201086816904,0.006782918015915129,0.02709874641193839,0.0050559437908927665,0.020062646411513917,0.0016829452257397354,0.007036100000424472,0.004309853745538447,0.018172453281872246,0.0058240496003768285,0.017566184512694604,0.004918936357469102,0.013062671759521605,0.00041599813805223923
32,SomMot,0.004372401356973913,0.013949290230146771,0.002731931625970134,0.013086871629412888,0.00614515617308755,0.00996563237665209,0.003459364860272062,0.003121239252760799,0.004124494702004354,0.006344787147491715,0.003613810219219747,0.005467403906940315,0.00460514518686127,0.006440815236111952,0.0025871034200297557
33,SomMot,0.0058465175902485626,0.03214324477506862,0.011224403574031672,0.018594835819244836,0.008934039005321633,0.013929373629623144,0.005056369820935913,0.004665462189621694,0.004141367948533201,0.018723052345046433,0.01046110691345197,0.014515573452609254,0.00837700147093135,0.010659440581506096,0.0032179321203395553
34,SomMot,0.006280169843544676,0.046724323425379154,0.01331600619752234,0.01435862727632553,0.007840876489447224,0.008338080436210227,0.00447306379412298,0.006020546840115304,0.005175355054838187,0.037710237450869454,0.013329585811530733,0.0109622118158329,0.007687563236214994,0.006387443222681988,0.0029829513200961074
35,SomMot,-0.0077117727602253,0.048483557196009254,0.025214979322033038,0.008227110149647077,0.00604493806198215,0.009294676439524262,0.005346709858536663,-0.0010675662898771865,0.003200786418415761,0.04475667322953023,0.028281995331008745,0.005821777936129324,0.0053893528230750855,0.0063983284606125455,0.003090262889589811
36,SomMot,-0.0097495520034319,0.06408398207248008,0.02260201986639101,0.009663733734979352,0.004896481612291417,0.004764023983185495,0.0022453930417856358,0.004899709751793857,0.0030473945609891507,0.06476812781473104,0.025176089584740362,0.007013307148479542,0.00486906324406884,0.0032323528626128084,0.0011602934742351008
37,SomMot,0.006096031406437851,0.04402094677550907,0.012664707290350718,0.018138526062479742,0.00810883069544193,0.015867535871426797,0.005596814756275338,0.002270990191052946,0.0034192618185540933,0.033685120833885064,0.00978864122960843,0.01608790639045803,0.008018695984242362,0.012572717951346757,0.004027400456606558
38,SomMot,0.005363115627002212,0.02191265784222196,0.00839688174274259,0.015744620316710155,0.006624802129926332,0.013612977361662181,0.004486780211562903,0.0021316429550479743,0.0022343926972049465,0.016318653743284096,0.005913487649300626,0.009558495086227881,0.0056848068404087276,0.008994219859625386,0.0027958825880352715
39,SomMot,0.005972779524181108,0.02612764606551361,0.004435187430967821,0.027803942060288446,0.007180408142560589,0.020319379241042945,0.0040901906592261394,0.0074845628192455,0.0048849512540311306,0.019932196505984344,0.004846454312532885,0.019629623774742845,0.0073618319277922555,0.013699323833171361,0.0030544992001132172
40,SomMot,-0.005298152133581005,0.03521669574481958,0.00790978451842613,0.018260327102759377,0.005437534802451613,0.006591852955926925,0.0032222775833337827,0.011668474146832452,0.002977227612200771,0.03489293932792168,0.0040426099175917395,0.010924111630851807,0.00501020085499682,0.004164369003363588,0.0014831021573088173
41,SomMot,0.006218767246157334,0.057758314234802224,0.011855805539602634,0.01816237719048721,0.00496220184577925,0.014781204832677175,0.0038879737957752693,0.003381172357810036,0.003288171169312444,0.05056035147227496,0.01142128823914613,0.016695136293304057,0.005983746532391569,0.01166157754438526,0.0030597730905737312
42,SomMot,0.003637580683620077,0.03279468624153159,0.0158409944649456,0.006262468208824612,0.004487737894697554,0.007642164762508896,0.0057143805311535255,-0.0013796965536842843,0.002228642568304835,0.027665151224522712,0.015860658730114902,0.0043076565707594215,0.0046018375765022445,0.0055762628981844255,0.0037143310589484975
43,SomMot,0.00626988090863298,0.04483728587344664,0.004475162236576094,0.02460832172636791,0.006805439911703105,0.020687242554606744,0.005220917192844418,0.003921079171761166,0.002931051913102134,0.035200346162228155,0.005978450359287336,0.022118469369222703,0.0056050120162727994,0.016177861289130437,0.0034099355401160116
44,SomMot,0.005874398284247609,0.02789566785873403,0.007992839077085883,0.010004198112043783,0.00721391409520328,0.009921482367451651,0.004187572023029771,8.271574459213226e-05,0.0034317853981126988,0.017575333719790653,0.008880003315302492,0.007458815838036825,0.00712855078411202,0.0073474654425203624,0.0029778905174804083
45,SomMot,0.005735901958453074,0.019413937626125467,0.008270883294262416,0.010068751793433783,0.0053516385956310026,0.009707314441729564,0.0031609267255892862,0.00036143735170421907,0.0025693354372698517,0.009507792305034046,0.008857276616541739,0.00592435278448622,0.005375877956947767,0.007228731632977992,0.0023050945917020556
46,SomMot,0.006002331841764237,0.026448345740803347,0.011337656412965037,0.006760079000807484,0.005418603143638151,0.007938303894557608,0.0035320876662949686,-0.0011782248937501239,0.0020304384173683064,0.013692400924205895,0.009709464768226055,0.004686451174846984,0.005909660113368962,0.006359637948687569,0.0029643077787487675
47,SomMot,0.004373488313772833,0.054397782827389364,0.014921569221686701,0.0025883135545021973,0.0027887745167911207,0.004776141067012474,0.0017558896089944864,-0.0021878275125102762,0.0025514484147442043,0.039594960445247,0.015625141642222683,0.004806940048052266,0.0035418065386543605,0.004358435225589319,0.0017565214028868804
48,SomMot,0.005677417560596046,0.01879124129414398,0.007352052743511154,0.012537619205093132,0.0070161937054631475,0.010188257645383003,0.005021714409296032,0.002349361559710128,0.0022920755175498972,0.014662873657642184,0.008063441737205286,0.006888936597441187,0.005916377970771888,0.007187880416595705,0.0029798783503826773
49,SomMot,-0.005938521885033965,0.08400286634692358,0.0247328042706364,0.008461044801348194,0.0036115194917707887,0.006347757963528533,0.001852062372104871,0.002113286837819661,0.003363382761694915,0.08307252805074913,0.028588103195868013,0.010319335647151196,0.003155224788488405,0.00598372455258731,0.001519238415838055
50,SomMot,0.0055886079196915345,0.00876753002057915,0.0027254165086405702,0.00266569128500731,0.0025436812740365694,0.005217247440261486,0.0018317714683085838,-0.0025515561552541754,0.0008487107264032945,-0.005907352700763413,0.0024483764699927925,-0.000491222938536362,0.002686255845958309,0.0036274165284174266,0.001538973147984179
51,SomMot,0.0055693217312698644,0.04747744196812691,0.004716203353668175,0.0008068655052629881,0.004464722266029079,0.003584668744289865,0.002308172165522084,-0.002777803239026877,0.003524410829763063,0.02979366211140071,0.0046133501880959585,0.0034010044899447146,0.004067659609837681,0.003430194124607611,0.0018866497193886895
52,SomMot,0.005378035725677252,0.02858472654264623,0.007645889700990958,0.00416899224095244,0.003855719072130524,0.004744959290064377,0.002187432949164576,-0.0005759670491119362,0.002738552965199322,0.016451983219720568,0.007480616768292554,0.002787597066810643,0.004150461435451505,0.004237807010855544,0.002214337175720428
53,SomMot,-0.008152651159703681,0.05573653809105159,0.021627266633544993,0.013708746683093853,0.004242017617316469,0.0024116367895058223,0.0015519091075707114,0.011297109893588031,0.00392942891417087,0.06259392896005211,0.027304323702356068,0.006216391425073709,0.003096004817072706,0.0019293877805500958,0.0011721987977458834
54,SomMot,-0.008948968469813271,0.08179628061066377,0.01544961360255183,0.024229597214858088,0.0035985584852283588,0.000506913927785968,0.001850053357553612,0.02372268328707212,0.003440212273944833,0.07896571134884231,0.013410588434507192,0.023442272037469247,0.0019887745263528207,0.0005862043079493783,0.001012538837023087
55,SomMot,0.005986620688871678,0.027214252617589318,0.010813209802719511,0.014298259036435246,0.00504993952002067,0.014749907660413642,0.003737901973022433,-0.00045164862397839567,0.0019829391535323613,0.019454040483113277,0.013206815351493886,0.009792667758492657,0.005536249520365929,0.010885234241307228,0.0030339492808713273
56,SomMot,0.00535435419074742,0.029811534100453785,0.007357784649340108,0.015052350504135625,0.007289135604834792,0.013364297852050422,0.003490219963923556,0.0016880526520852035,0.004932334456395943,0.0247612736900908,0.0066766916858274,0.010885555022217974,0.006814363689485092,0.009214886962891744,0.0026400245655729205
57,SomMot,0.006143601023746585,0.035105203192054325,0.010565323444123436,0.01916937544648296,0.004475799691666322,0.015913285090171536,0.0029350833482439083,0.0032560903563114254,0.0022249602853878603,0.03041755237096728,0.012898266306843936,0.013046103106585227,0.005157855594475635,0.011775688399209528,0.0022454552932064022
58,SomMot,0.005562903321964925,0.0161988752658746,0.006509069872572263,0.015482805690833889,0.004032702100073814,0.015744285240071276,0.0019744813842555962,-0.0002614795492373867,0.003234888484036046,0.011461859548027763,0.0025197254578081833,0.00748516806634687,0.004833194098175542,0.011184924492114034,0.0020978755273280505
59,SomMot,0.006111632619446168,0.03830852452002105,0.014409476725682269,0.01308417748702968,0.004275449158387228,0.012555140974807588,0.002526620866962412,0.0005290365122220919,0.00392037360991911,0.031191669788248454,0.01573619795024715,0.009454722158394735,0.004505937760621914,0.009603475882235157,0.0020132478958083725
60,SomMot,-0.01302758038674154,0.062112254496811306,0.020224127735966033,0.007464624231146933,0.004559908487911642,-0.0009209819828547072,0.00032670326973037277,0.00838560621400164,0.0046118172998532644,0.05482785325251951,0.020483024685851496,0.004235312879009001,0.0027384586496953947,-0.0002096888663678742,0.0002866679824862604
61,SomMot,-0.015414553030039897,0.0605592347361501,0.013492409327102616,0.006308592880027386,0.00482912171196977,-0.0003047659262811475,0.0008273103565272277,0.0066133588063085336,0.005208085370554929,0.06427549388140334,0.008517199789778435,0.0059882795317363294,0.002143022223824906,0.000598597898020281,0.0007162005327368999
62,SomMot,-0.014470645600189009,0.07680654790679009,0.016790492661042617,0.018060123600025756,0.0013141378962347689,0.0005904569839816798,0.0016940672897075122,0.01746966661604408,0.0024107328198016216,0.0764001474468456,0.019563220374702713,0.013028352351563587,0.0013606320782004004,0.0006603752255595729,0.0009301715198335412
63,SomMot,-0.014739510666119997,0.09887386589457074,0.02004755558839953,0.011171486646964168,0.002457021041977267,0.0034199876605600643,0.0019705199529167026,0.007751498986404104,0.0036991262791264785,0.09554302059853825,0.018635634970616505,0.012797123884933547,0.0027584248980836367,0.002826915666774554,0.001378374322871784
64,SomMot,-0.004269703244357111,0.11294827063881704,0.03125352933145363,0.01459310487182266,0.010229017639292143,0.004818327019494984,0.0035872384089950405,0.009774777852327676,0.00724200359028348,0.1163161731016236,0.027001339718752466,0.019388331907374257,0.006477610467969777,0.004919803629601938,0.002817289308442311
65,SomMot,-0.013789302739104985,0.09964010306800217,0.019548999124436695,-0.002508384765428495,0.0030101965260930573,0.0028618178002581375,0.0018675139648375578,-0.005370202565686632,0.0021160723336467353,0.0932111969566444,0.016761261840027727,0.004745702114414496,0.003052454836422658,0.0031076015146275894,0.001739508612063058
66,SomMot,-0.013433046015868708,0.13047929263965502,0.008048398839935836,0.009928825473850744,0.006078740245152727,0.0019968388690519757,0.0018156598601596998,0.007931986604798769,0.007584640943318868,0.1255167974105726,0.00861600573600312,0.01647087508595877,0.004290833046801758,0.0017838900455351414,0.0013793802608357858
67,SomMot,-0.013599204391367725,0.1609145518854356,0.021428878503135174,-0.006829334929330755,0.0020684753592020134,0.002333957197222314,0.00106900383791223,-0.009163292126553068,0.002119541167653093,0.14427323302156328,0.021501472064530618,0.007851983681267227,0.002496445462526591,0.0038458570808297178,0.000829901193742905
68,SomMot,-0.013661624176126045,0.10750258658580758,0.02170716742405478,0.007307411412646037,0.003354871139423829,0.0014799667175317665,0.0024175289160306835,0.00582744469511427,0.00476896750984485,0.10303194928121015,0.018084836229875986,0.011721064426405614,0.0023136029783435356,0.00175716444036762,0.0009854200419142545
69,DorsAttn,-0.010590091767855535,0.037670153832364564,0.014023254842985248,0.01749801787180494,0.005237200217414631,0.0035268415094512175,0.0011351884210446534,0.013971176362353722,0.0049720931287601695,0.04943636576634767,0.008214144561511632,0.00912941079031182,0.003739961400073311,0.002586800692254676,0.0013273477093362328
70,DorsAttn,-0.013159655661564691,0.09922917357991587,0.019747709127323175,0.00891028741383475,0.004403007237730761,0.005231167498570155,0.0031426330042502227,0.003679119915264595,0.0035998825486155133,0.09628226075226523,0.016709267240480673,0.011440957705706722,0.004537504917567948,0.004059866719797123,0.0021567395874320786
71,DorsAttn,-0.012605508096287563,0.1358151845777715,0.01951155719518879,0.0032864488258248724,0.0013937115271124847,0.004031449324577418,0.0024126605551551706,-0.000745000498752546,0.002623268237346735,0.12977367132660494,0.015727255533501922,0.011895656281262101,0.002382216541536868,0.004206806715060307,0.001166771768681571
72,DorsAttn,-0.0135605250688058,0.10371693755018378,0.02133543859584781,0.005232165954815104,0.004063379338638057,0.003911564698828629,0.002456592093674161,0.0013206012559864755,0.005113924378401398,0.10209549871403037,0.01985894384213296,0.008084391322053141,0.0034879575617513875,0.0033879899249866564,0.0013088890479994709
73,DorsAttn,-0.012643119623543756,0.12511341582403274,0.009514133485088477,0.03040624533984706,0.00735471613322933,0.0017598021234920048,0.001249035327510213,0.028646443216355056,0.00629753874132855,0.12660212878178304,0.005961353574314899,0.034159901121158166,0.004741805520718281,0.0022079665642031456,0.0011704554349625746
74,DorsAttn,-0.010997154316604254,0.07201331536620188,0.00821195265811516,0.008713618683944113,0.003183151966086284,0.006309908257066033,0.0040928457756295965,0.0024037104268780805,0.0018525138157871766,0.06919385119494019,0.008313786936565377,0.00957355630158574,0.003069961363277449,0.0040002984727508075,0.003287500932858899
75,DorsAttn,-0.010847622169976676,0.0728186962492123,0.020620380741609667,0.017236536097731636,0.004329367147439309,0.004382082120110642,0.0028245793375936083,0.012854453977620995,0.005476511454416941,0.07457385450036076,0.021124839023523852,0.014818100378780352,0.003340573614791862,0.0028385554478598473,0.0020327954153649633
76,DorsAttn,-0.011693665267077165,0.10332608346725163,0.018910628376367644,0.01148803247725878,0.0015083680871562197,0.004659409347470178,0.0025808441499248287,0.006828623129788602,0.0014975642456642206,0.09183553025430143,0.021769136580416074,0.016053506689419673,0.002377226805727099,0.002956210569914397,0.0019070368759954526
77,DorsAttn,-0.012332983126936413,0.10991769588522407,0.016744824961382004,0.009154588873209524,0.002591120403311721,0.0061895954783536935,0.0033620280244964465,0.0029649933948558303,0.003198504218962866,0.10388782334491323,0.014622519311005945,0.01286570567135159,0.004168011680125364,0.004072794474519336,0.0021043312135346254
78,DorsAttn,-0.012406268204038328,0.1033390312001398,0.023411486614336743,0.0028801640989305267,0.0029004949891846786,0.004693913346789325,0.00236522739295586,-0.001813749247858798,0.001965188683159575,0.101234018669025,0.024541190430557632,0.007006780891016762,0.003989555352941855,0.0031747747448591657,0.0011200641907598472
79,DorsAttn,-0.010336546836418775,0.14261419923209512,0.007407364327798127,-0.0021238868961609646,0.002606514938238508,0.0024904149930648376,0.0014666822867868835,-0.004614301889225803,0.002799437784523178,0.1311068303023719,0.007381501163666963,0.008661348489557663,0.0020687107925367767,0.003684972520383334,0.001200706257761449
80,DorsAttn,-0.011828717004173803,0.16421473300669354,0.015578559671113587,0.002918662070373346,0.0015707743753706376,0.004561011464841491,0.0020050075457964064,-0.0016423493944681456,0.002927611285529722,0.15938279072794206,0.013975602771709592,0.012671132917898032,0.0026302642965633427,0.004814642762378996,0.0006289018974757997
81,DorsAttn,-0.010401018113502717,0.16744886935912606,0.03731098667062272,0.013450705186774093,0.002891957464771523,0.002654382003039135,0.0012124149046648938,0.010796323183734958,0.0028260768574087476,0.17062008544987184,0.036176977435479284,0.01869459894295864,0.0038857947710186315,0.004100594454523954,0.0010715944076511764
