subject,fold,component,heldout_correlation,train_singular_value,fold_empirical_p
4,1,19,0.13579795003451348,0.377161837769144,0.009900990099009901
4,1,20,0.08286166852986485,0.3643081965712413,0.07920792079207921
4,2,1,0.7141510074998962,0.7627742415706383,0.009900990099009901
4,2,2,0.5774702951501485,0.6786466470822173,0.009900990099009901
4,2,3,0.5460427095536253,0.6502826502830664,0.009900990099009901
4,2,4,0.45212283284300786,0.6039845668794894,0.009900990099009901
4,2,5,0.365521026875798,0.5495588057357945,0.009900990099009901
4,2,6,0.30436697791731665,0.5323631144293298,0.009900990099009901
4,2,7,0.2990343097064952,0.5266010808877507,0.009900990099009901
4,2,8,0.20181443893596837,0.4939757381004829,0.009900990099009901
4,2,9,0.19160823684621242,0.48201434600474863,0.009900990099009901
4,2,10,0.21023744309800493,0.47829886330904176,0.009900990099009901
4,2,11,0.2728153648999185,0.47167772895749704,0.009900990099009901
4,2,12,0.23040734921062492,0.4540725951468023,0.009900990099009901
4,2,13,0.1231584699559719,0.4291068701932629,0.009900990099009901
4,2,14,0.11607602063792812,0.4202247561606007,0.019801980198019802
4,2,15,0.13150956862023877,0.4151940897111227,0.0297029702970297
4,2,16,0.05568914654589559,0.40068136128573356,0.19801980198019803
4,2,17,0.019213764091675228,0.3946977473125426,0.3564356435643564
4,2,18,0.1102102259553553,0.3879874748110386,0.009900990099009901
4,2,19,0.05192766733899627,0.37317994467048965,0.15841584158415842
4,2,20,-0.021685825376433588,0.36909571137057284,0.6336633663366337
4,3,1,0.6864613513653552,0.7734714585693429,0.009900990099009901
4,3,2,0.5571880760363735,0.6845537975133946,0.009900990099009901
4,3,3,0.535567265657557,0.6553753546115758,0.009900990099009901
4,3,4,0.4701493206410152,0.6105360866450485,0.009900990099009901
4,3,5,0.3590105946057801,0.5668660625712303,0.009900990099009901
4,3,6,0.30285839275886556,0.5283584277306206,0.009900990099009901
4,3,7,0.2615786979447508,0.5230780365145126,0.009900990099009901
4,3,8,0.1712717453959144,0.5121676753058919,0.009900990099009901
4,3,9,0.2067901166592058,0.48701299160087713,0.009900990099009901
4,3,10,0.2504021108629895,0.48148882799520704,0.009900990099009901
4,3,11,0.14503723957637352,0.47118997045809596,0.009900990099009901
4,3,12,0.1576292582093076,0.4505855324093365,0.009900990099009901
4,3,13,0.13417391024785322,0.4370754161724421,0.009900990099009901
4,3,14,0.11801509437106439,0.423422630760644,0.019801980198019802
4,3,15,0.03650050168788339,0.41904179949914094,0.24752475247524752
4,3,16,0.042744241481306226,0.41288061313793156,0.1485148514851485
4,3,17,-0.020136056225517045,0.40946224376064394,0.6138613861386139
4,3,18,0.03304402509319885,0.39184231578953227,0.26732673267326734
4,3,19,0.12088845045655834,0.3806430830757998,0.009900990099009901
4,3,20,0.04995325047689445,0.3695280626747379,0.13861386138613863
4,4,1,0.6671837958274569,0.775808248101485,0.009900990099009901
4,4,2,0.533902996964622,0.688456118317129,0.009900990099009901
4,4,3,0.5108072307917262,0.6593656821479519,0.009900990099009901
4,4,4,0.4642042369993421,0.6103211524172479,0.009900990099009901
4,4,5,0.3342338497115759,0.5744834898374973,0.009900990099009901
4,4,6,0.22546913942647126,0.5392117880221803,0.009900990099009901
4,4,7,0.35590016920773776,0.5083949180092852,0.009900990099009901
4,4,8,0.251772576003953,0.49916688778011503,0.009900990099009901
4,4,9,0.14189893640343604,0.49424005208124777,0.009900990099009901
4,4,10,0.28231984684826283,0.48160345389776216,0.009900990099009901
4,4,11,0.21727809830624975,0.4546274721525087,0.009900990099009901
4,4,12,0.3358367205083599,0.44375313131612826,0.009900990099009901
4,4,13,0.10671449470695014,0.4386159422830879,0.019801980198019802
4,4,14,0.038644846250454244,0.424904231439404,0.24752475247524752
4,4,15,0.01041297898484019,0.4151868138717724,0.42574257425742573
4,4,16,0.09481872294689898,0.399765679230124,0.039603960396039604
4,4,17,0.08607136249510643,0.3985571349747888,0.0594059405940594
4,4,18,0.051636205704156064,0.388029225732184,0.21782178217821782
4,4,19,0.09216296068694134,0.37858606552844143,0.0297029702970297
4,4,20,-0.030799661482297097,0.3770728415610951,0.7326732673267327
4,5,1,0.698355132048865,0.7716476694489814,0.009900990099009901
4,5,2,0.5031317497293135,0.691466004103818,0.009900990099009901
4,5,3,0.5122721144525413,0.6658390799316584,0.009900990099009901
4,5,4,0.42067371574862567,0.6191084129213366,0.009900990099009901
4,5,5,0.3372627073735762,0.5693967879571702,0.009900990099009901
4,5,6,0.3573867233345115,0.5359659130291551,0.009900990099009901
4,5,7,0.32922278071494526,0.5195578979536891,0.009900990099009901
4,5,8,0.1563961167215075,0.49152903255209357,0.009900990099009901
