pc,cumulative_video_variance,seq_r2_raw,seq_r2_clipped,seq_pearson_r,seq_spearman_r,seq_p_raw,seq_q_raw,seq_p_clip,seq_q_clip,shuf_r2_raw,shuf_r2_clipped,shuf_pearson_r,shuf_spearman_r,shuf_p_raw,shuf_q_raw,shuf_p_clip,shuf_q_clip,confirmed_shared_seq,confirmed_shared_shuf
60,0.8188878726755899,-0.3243659151320869,0.0,0.010257128277258045,0.02589844020677517,1.0,1.0,1.0,1.0,-0.3067658910692011,0.0,0.012802537709190683,0.031237639744913278,1.0,1.0,1.0,1.0,False,False
61,0.8216637482803485,-0.3461923302466862,0.0,0.030509581739457448,0.04271806020761528,1.0,1.0,1.0,1.0,-0.33647684415985507,0.0,0.027390579606066407,0.03838224023738215,1.0,1.0,1.0,1.0,False,False
62,0.8243989270182293,-0.2971232696310203,0.0,0.03144989465803436,0.02085581439106245,1.0,1.0,1.0,1.0,-0.28551267097252525,0.0,0.040491738295910684,0.030285742012081195,1.0,1.0,1.0,1.0,False,False
63,0.8270831644998482,-0.34466288169325743,0.0,0.0001338023665662812,0.004239750300279333,1.0,1.0,1.0,1.0,-0.3592631250122551,0.0,0.011623293945621846,0.01986924879842964,1.0,1.0,1.0,1.0,False,False
64,0.8296960254221141,-0.25152230281992377,0.0,0.06407516820571589,0.07913786341504381,1.0,1.0,1.0,1.0,-0.28606568580233743,0.0,0.051327848051359266,0.05536285349066149,1.0,1.0,1.0,1.0,False,False
65,0.8322487635091033,-0.31952729127351887,0.0,0.023150674087022677,0.02655711976508109,1.0,1.0,1.0,1.0,-0.3237938959932386,0.0,0.022169131838720067,0.028282550662287503,1.0,1.0,1.0,1.0,False,False
66,0.8347489115667793,-0.3007478654448506,0.0,0.030710326529957734,0.032742533957186355,1.0,1.0,1.0,1.0,-0.30817226013286214,0.0,0.013779792120733747,0.02572434858403961,1.0,1.0,1.0,1.0,False,False
67,0.837177027522483,-0.2929136801829999,0.0,0.0365709733679236,0.043001914022294495,1.0,1.0,1.0,1.0,-0.2641761712999145,0.0,0.059997809531332644,0.05166257394743747,1.0,1.0,1.0,1.0,False,False
68,0.8395629323076154,-0.23453733168588223,0.0,0.09076224095652809,0.07648602981691835,1.0,1.0,1.0,1.0,-0.24645939524187988,0.0,0.06793949942651747,0.0573667039864772,1.0,1.0,1.0,1.0,False,False
69,0.8417894629994614,-0.2585183102295644,0.0,0.05235121477710628,0.05899743009462883,1.0,1.0,1.0,1.0,-0.24890615005209732,0.0,0.06222071675848562,0.06689097979050042,1.0,1.0,1.0,1.0,False,False
70,0.8439624307044956,-0.3195252799070355,0.0,0.04493274732143267,0.03807961399000931,1.0,1.0,1.0,1.0,-0.3605038658272769,0.0,0.054519954437699344,0.0579201583020731,1.0,1.0,1.0,1.0,False,False
71,0.8461049993550558,-0.3259222103578992,0.0,0.0074919850296649585,0.011001921863026235,1.0,1.0,1.0,1.0,-0.3532994847305628,0.0,0.015045063657407966,0.025377146580377884,1.0,1.0,1.0,1.0,False,False
72,0.848234980306675,-0.320593482454426,0.0,0.001209224487281445,0.00829662093936713,1.0,1.0,1.0,1.0,-0.29622121517106154,0.0,0.022118663680503716,0.016368447202526,1.0,1.0,1.0,1.0,False,False
73,0.8503306900262754,-0.2852079531511037,0.0,0.04318609367687717,0.04410262691094768,1.0,1.0,1.0,1.0,-0.25282220438902964,0.0,0.06556061753114197,0.05899365927323231,1.0,1.0,1.0,1.0,False,False
74,0.8523678807679114,-0.2889514847299123,0.0,0.04640195111815701,0.052984971562437574,1.0,1.0,1.0,1.0,-0.3040959201296642,0.0,0.012692127138839472,0.017460385856828384,1.0,1.0,1.0,1.0,False,False
75,0.8543411072413429,-0.2969315451067144,0.0,0.03746119269808539,0.030774233633560355,1.0,1.0,1.0,1.0,-0.2922414004716239,0.0,0.05294465514841456,0.04045903737664425,1.0,1.0,1.0,1.0,False,False
76,0.8562547684056753,-0.33308562217083093,0.0,-0.022184894262492694,-0.009599890665965383,1.0,1.0,1.0,1.0,-0.3240142307310031,0.0,0.006433665088551678,0.02577248752497636,1.0,1.0,1.0,1.0,False,False
77,0.8581531568240965,-0.3548323647850156,0.0,-0.0039223603719839755,0.011776631827366588,1.0,1.0,1.0,1.0,-0.29212688335176995,0.0,0.026428132268345027,0.03836674225346984,1.0,1.0,1.0,1.0,False,False
78,0.8599915539887556,-0.3082495711792285,0.0,0.027621350197154386,0.029203584141465164,1.0,1.0,1.0,1.0,-0.31046023715420096,0.0,0.012741022324489737,0.012823268284345345,1.0,1.0,1.0,1.0,False,False
79,0.8617847216346376,-0.3432471463386198,0.0,-0.01935838851522295,-0.008869008735550356,1.0,1.0,1.0,1.0,-0.3777947733132886,0.0,0.0020957912327369634,0.00998996016790079,1.0,1.0,1.0,1.0,False,False
80,0.8635692430798597,-0.3031701415111264,0.0,0.026593934428193827,0.03367424951308398,1.0,1.0,1.0,1.0,-0.30541761467380735,0.0,0.026237717083142712,0.03264857861600827,1.0,1.0,1.0,1.0,False,False
81,0.8652743773548848,-0.35403472231391786,0.0,0.01198123793249578,-0.0013283305043693878,1.0,1.0,1.0,1.0,-0.37998178563833745,0.0,-0.02283008259279938,-0.029650460987215122,1.0,1.0,1.0,1.0,False,False
82,0.8669539759916403,-0.2386557877444293,0.0,0.07960020153924499,0.07490540628366438,1.0,1.0,1.0,1.0,-0.3092729427745483,0.0,0.030361993703904935,0.04183519910543922,1.0,1.0,1.0,1.0,False,False
83,0.868596227856004,-0.28700413776907213,0.0,0.03572793442709789,0.024543892830826385,1.0,1.0,1.0,1.0,-0.2754375996810251,0.0,0.038521709086669464,0.0350161264459968,1.0,1.0,1.0,1.0,False,False
84,0.870189256198403,-0.27775230603993506,0.0,0.028912456394199385,0.03691836492363163,1.0,1.0,1.0,1.0,-0.31226166620074225,0.0,0.02356966828380846,0.025799144402408155,1.0,1.0,1.0,1.0,False,False
85,0.8717555708961462,-0.38179890587521004,0.0,-0.058651013006886285,-0.0525231402694165,1.0,1.0,1.0,1.0,-0.38402663096523265,0.0,-0.0566912850915664,-0.04246138034914083,1.0,1.0,1.0,1.0,False,False
86,0.8732972659179207,-0.35110524542730376,0.0,-0.002299570100441307,0.007859856750998734,1.0,1.0,1.0,1.0,-0.3347633970658092,0.0,0.0006181779233478423,0.028852138525804736,1.0,1.0,1.0,1.0,False,False
87,0.8748361810761145,-0.26745138756911013,0.0,0.04286945769251191,0.029888700861862207,1.0,1.0,1.0,1.0,-0.255535907161515,0.0,0.04864371276724689,0.04409219158260769,1.0,1.0,1.0,1.0,False,False
88,0.8763339606921451,-0.3041963644366644,0.0,0.024541052507325155,0.035204484036257956,1.0,1.0,1.0,1.0,-0.32001329564098746,0.0,0.02090251906529255,0.03410228720629864,1.0,1.0,1.0,1.0,False,False
89,0.8778232241428339,-0.28536097917266634,0.0,0.026894284197858657,0.022169170892345068,1.0,1.0,1.0,1.0,-0.29002825250769676,0.0,0.01744925310879688,0.015865644175008388,1.0,1.0,1.0,1.0,False,False
90,0.8792731208189887,-0.2309695683229842,0.0,0.08084599613274399,0.07456081038002517,1.0,1.0,1.0,1.0,-0.2664291526092654,0.0,0.05978317657132612,0.05802266586157711,1.0,1.0,1.0,1.0,False,False
91,0.8807053269277925,-0.2735330613892287,0.0,0.038578714710689986,0.036964320515266796,1.0,1.0,1.0,1.0,-0.3024252148527581,0.0,0.02066048176740997,0.018813239929209243,1.0,1.0,1.0,1.0,False,False
92,0.8820963360660213,-0.3331122438661595,0.0,-0.009812549528781463,-0.0041741871275875475,1.0,1.0,1.0,1.0,-0.30901816239963453,0.0,0.018368560143204263,0.015176089434798121,1.0,1.0,1.0,1.0,False,False
93,0.8834741992969547,-0.3605222400542364,0.0,-0.007661198569442617,-0.0004832903496840593,1.0,1.0,1.0,1.0,-0.32433366899458493,0.0,0.01933767483408283,0.033645614047244005,1.0,1.0,1.0,1.0,False,False
94,0.8848439137203221,-0.3235149768494248,0.0,0.005806895501250431,0.010983521566001235,1.0,1.0,1.0,1.0,-0.3150937572486963,0.0,0.000769724766560338,0.008462817764285648,1.0,1.0,1.0,1.0,False,False
95,0.8861899101710053,-0.3052049112893318,0.0,0.0047747338476368814,0.014919870863504874,1.0,1.0,1.0,1.0,-0.29993271581732267,0.0,0.026180835577351076,0.032463676078237795,1.0,1.0,1.0,1.0,False,False
96,0.8875242148292347,-0.29402114564592136,0.0,0.05119363399444822,0.06149413948569792,1.0,1.0,1.0,1.0,-0.27802520709637984,0.0,0.06816822736515449,0.07328484517345978,1.0,1.0,1.0,1.0,False,False
97,0.8888371327854304,-0.30034887554713335,0.0,0.021023835677971604,0.028479018739509032,1.0,1.0,1.0,1.0,-0.298437203098468,0.0,0.015036998614877164,0.016618766244370798,1.0,1.0,1.0,1.0,False,False
98,0.8901048847846925,-0.35008342930419467,0.0,-0.012333015908293605,-0.026200803025807625,1.0,1.0,1.0,1.0,-0.25885042174518874,0.0,0.053934766457539966,0.03835988448905394,1.0,1.0,1.0,1.0,False,False
99,0.891352589113913,-0.3255792031665473,0.0,0.04734305842687873,0.06817452115012179,1.0,1.0,1.0,1.0,-0.36536026949393524,0.0,0.01293889160056648,0.041138499590459655,1.0,1.0,1.0,1.0,False,False
100,0.8925903716036853,-0.2616177461409442,0.0,0.06503124988633066,0.059655567841806686,1.0,1.0,1.0,1.0,-0.3043227474361263,0.0,0.03227350703581413,0.03346989123941379,1.0,1.0,1.0,1.0,False,False
