parcel,network,principal_gradient_1,video,video_sem,content,content_sem,video_content,video_content_sem,unique_video_given_content,unique_video_given_content_sem,unique_content_given_video,unique_content_given_video_sem,commonality_video_content,commonality_video_content_sem,unique_av_vc,unique_av_vc_sem,unique_e2_vc,unique_e2_vc_sem,unique_e34_vc,unique_e34_vc_sem,matched_2d_vs_av,matched_2d_vs_av_sem,fine_grained_vs_av,fine_grained_vs_av_sem,resolution_34d_vs_2d,resolution_34d_vs_2d_sem,unique_e3_vc,unique_e3_vc_sem,unique_e5_vc,unique_e5_vc_sem,unique_e10_vc,unique_e10_vc_sem,unique_e20_vc,unique_e20_vc_sem
115,Limbic,-0.005055438437333853,-0.0033236513698285284,0.008317668315578374,-0.02567840887485815,0.008167713267193554,-0.0020355638247903096,0.007786403620753723,0.02364284505006784,0.0033766062150449357,0.001288087545038219,0.002186526003386735,-0.026966496419896367,0.00794081476492163,0.00027130747938337586,0.00018381815988001158,0.00023881030781862654,0.00023324369367841517,0.0004334810093217234,0.000346075169500394,-3.2497171564749296e-05,0.0001299375434862738,0.00016217352993834754,0.0002271467397720944,0.00019467070150309685,0.0002522006415093129,0.00022244399266218017,0.0002288835751457615,0.00024912985929730346,0.00025905303230775535,0.00035730699577787297,0.00022688073303376156,0.000389094344895935,0.000231486898200949
116,Limbic,-0.01241823153195613,-0.01587626428905171,0.003104619609499152,-0.031921466156516275,0.003940109287271593,-0.012268373819190149,0.003789313299526852,0.01965309233732613,0.0009716524169314842,0.003607890469861563,0.0012400937555818333,-0.03552935662637784,0.0032616392557897863,0.00012474495438603573,4.928312636431844e-05,6.126027542590063e-05,4.6472526017334445e-05,0.00019953775334142777,9.764926063609022e-05,-6.34846789601351e-05,4.550140056878426e-05,7.479279895539204e-05,0.00014312083566474966,0.00013827747791552713,0.00012663082946491217,4.966391427501105e-05,5.602751811261387e-05,-8.787552309152957e-06,4.837083821165762e-05,0.00018739227167006157,0.00011002026905683254,0.00020235584789785044,0.00020863192530716775
117,Limbic,0.0047014210147577305,0.0001865398439790944,0.007056882398909932,-0.018459986739242963,0.008234395039687639,0.0029445339826691397,0.007842488213940615,0.021404520721912103,0.0031815932013572164,0.0027579941386900453,0.0012860345698648096,-0.02121798087793301,0.007571480691125354,0.00036881866372875385,0.00033773793113379703,0.00035021581216820863,0.00023987197532781307,0.000524508699485704,0.0003357836083224929,-1.86028515605452e-05,0.0001046945514556691,0.00015569003575695018,8.688316416965144e-05,0.00017429288731749538,0.00011720868611201255,0.00033705954830201004,0.00023819321994565646,0.00040844169471236923,0.00030707371032676084,0.00048524430039893486,0.0004166131808894238,0.0004999345744351125,0.00046307430221538765
118,Limbic,-0.0149453807889796,0.014106309235725733,0.0056221905280814865,3.994774201130369e-05,0.005167871001726419,0.02130122940478254,0.004561373217840045,0.021261281662771237,0.0024897667831134773,0.007194920169056806,0.0021287774775605593,-0.007154972427045503,0.005963496715677988,6.188562119191499e-05,2.6315422876326852e-05,1.694331023458506e-05,3.735041499740887e-05,0.0007091749296332716,0.000280585156750495,-4.4942310957329924e-05,5.953970220379679e-05,0.0006472893084413567,0.00028353745996095956,0.0006922316193986866,0.0002717748135219386,0.0001003715032035002,4.235008396183974e-05,0.00010112534141935026,4.883644573658121e-05,0.0006373969630829146,0.00024700576270550824,0.0006071646003344755,0.00030827107832162354
119,Limbic,-0.0011039792674738807,-0.0041495853200451014,0.004805833723113395,-0.03120239399587583,0.004876891982667047,-0.003035968092196506,0.004251118837526758,0.028166425903679328,0.0034535972060718767,0.0011136172278485956,0.001717161828489933,-0.032316011223724427,0.0046108552876992885,0.0001586603958609656,8.84155359602424e-05,0.0001528476990963812,0.00013557094380168725,0.0004092602739231621,0.00029226812013528447,-5.812696764584402e-06,7.06238471799258e-05,0.0002505998780621965,0.00029145908336146746,0.0002564125748267809,0.00024885151439784585,0.00015937598949526953,0.00014159535891806479,0.00020236285234331852,0.00018805522348145132,0.0002630058622551612,0.000175094163403161,0.0003809255116338228,0.00022516035959365663
120,Limbic,0.0040636813474975286,0.001157178119384028,0.006612488581669964,-0.024129249724660018,0.008098577243382603,0.002483569498452476,0.006415785570879224,0.026612819223112493,0.0026294469926996587,0.0013263913790684478,0.0005068099451447744,-0.025455641103728464,0.00834445851217835,4.776046727323901e-05,5.586997862491978e-05,7.461532332737608e-05,6.687573456796978e-05,0.0004449191242259953,0.00027470470850180493,2.6854856054137066e-05,2.3934755079097316e-05,0.0003971586569527563,0.0002988136182231506,0.00037030380089861923,0.0002969019135626766,0.00011464110813177441,5.0852327859292694e-05,0.00013214220094075467,8.239900382885613e-05,0.00028394948004717424,9.461900049853011e-05,0.00021453555326687024,0.00014940460892996503
121,Limbic,-0.013554434409927619,0.08859485192101295,0.022459378594909134,0.06730489199647657,0.014177717466755791,0.09272145930066693,0.021382668564656725,0.02541656730419035,0.007414439283150026,0.004126607379653979,0.001324807736783291,0.0631782846168226,0.015223003499749754,0.0005130282589603574,0.0002448893603030861,0.0002752581205675675,0.00019035093759151142,0.0021701739343350734,0.0004443481907976725,-0.00023777013839278993,0.00012425328297024576,0.001657145675374716,0.0005604903310004367,0.001894915813767506,0.0004928213417883477,0.0003112146271246008,0.00021418605601608175,0.0005126279423208979,0.0001928537979259704,0.0018429151598952532,0.00029585642239641005,0.0021901761049074155,0.00043627098975526244
122,Limbic,-0.010803506635399994,0.07303827748117349,0.02021273874853139,0.0475190443729389,0.018607843908258495,0.07576184302669642,0.02084746161320541,0.028242798653757516,0.004088442086291364,0.0027235655455229322,0.0009892732221306628,0.04479547882741597,0.017854802960643304,0.00037824000074460074,0.0002451216821364902,0.00028531028448368633,0.00011751673183745421,0.0007033907352755664,0.00024293891951930125,-9.29297162609144e-05,0.00013142891795593116,0.00032515073453096564,0.0003188875489810635,0.00041808045079188004,0.00024243658454987788,0.0002806845089718957,0.00010806229783925414,0.0003132712696142459,0.00013441008223161153,0.0006153304286742545,0.00023606075294179904,0.0006774816865398492,0.00018714518224603253
123,Limbic,-0.003807428345892788,0.04306827659426671,0.008537361076500275,0.019372658501924912,0.009033674911052478,0.04346948848967016,0.00998876575319957,0.02409682998774525,0.001565820778343109,0.0004012118954034527,0.0019203841438727679,0.018971446606521458,0.007592113625951073,0.0006158825699778437,0.00019055976459818831,0.00025416429076743354,0.00012212896235282454,0.0018317242286951974,0.0003957622351835347,-0.00036171827921041013,0.00010944072199550018,0.0012158416587173537,0.0005001587556436923,0.0015775599379277637,0.0004842279837835244,0.0004754806717251148,0.00011725755163699901,0.000583738582304294,0.00011873520138495465,0.001187386260577461,0.000241156895496195,0.0015773229799252776,0.0003584796801878129
124,Limbic,0.003112415927603989,0.0701764085969941,0.010335230354951597,0.052665204316462114,0.012254620639273628,0.07474624585011236,0.011264785531713974,0.022081041533650248,0.004579990441046048,0.004569837253118258,0.001169814614588488,0.04809536706334385,0.011503455485534282,0.0006865436746177345,0.00027772796970864646,0.0005702295271219571,0.00019233197794541542,0.001789899294528352,0.0004518213552667347,-0.0001163141474957774,9.680440881585328e-05,0.0011033556199106175,0.00043529077961447634,0.001219669767406395,0.0004536906106012687,0.000660284549206569,0.00014715304681350651,0.0007055919752603001,0.00019832024167893493,0.0012014635282409313,0.0003696761064402085,0.0015155624975886628,0.0004064042860047691
