source,setting,emotion_idx,K,top1_cluster_count,top1_cluster_pct,top3_cluster_pct,entropy,null_mean,p_perm
voxel__sub-02,kmeans_K15,12,15,17,0.1559633027522936,0.43119266055045874,2.4137938463254924,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,13,15,13,0.11926605504587157,0.3302752293577982,2.595279284926322,2.642012596130371,0.04757
voxel__sub-02,kmeans_K15,14,15,23,0.21100917431192662,0.47706422018348627,2.362330860789378,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,15,15,20,0.1834862385321101,0.44036697247706424,2.473768554459807,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,16,15,28,0.25688073394495414,0.5596330275229358,2.137395627343421,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,17,15,17,0.1559633027522936,0.3944954128440367,2.507003404609151,2.642012596130371,0.0001
voxel__sub-02,kmeans_K15,18,15,19,0.1743119266055046,0.3761467889908257,2.5579849987649768,2.642012596130371,0.00499
voxel__sub-02,kmeans_K15,19,15,17,0.1559633027522936,0.41284403669724773,2.532192707133064,2.642012596130371,0.00084
voxel__sub-02,kmeans_K15,20,15,19,0.1743119266055046,0.3761467889908257,2.5529472289334576,2.642012596130371,0.00351
voxel__sub-02,kmeans_K15,21,15,17,0.1559633027522936,0.3669724770642202,2.585326098986975,2.642012596130371,0.0267
voxel__sub-02,kmeans_K15,22,15,23,0.21100917431192662,0.43119266055045874,2.4030521160936393,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,23,15,20,0.1834862385321101,0.43119266055045874,2.446408967666104,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,24,15,15,0.13761467889908258,0.3944954128440367,2.4219774502649174,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,25,15,19,0.1743119266055046,0.4036697247706422,2.503110695518472,2.642012596130371,7e-05
voxel__sub-02,kmeans_K15,26,15,23,0.21100917431192662,0.42201834862385323,2.4867007645470807,2.642012596130371,4e-05
voxel__sub-02,kmeans_K15,27,15,22,0.2018348623853211,0.5229357798165137,2.297777263694662,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,28,15,13,0.11926605504587157,0.3394495412844037,2.541177130685088,2.642012596130371,0.00145
voxel__sub-02,kmeans_K15,29,15,14,0.12844036697247707,0.3761467889908257,2.5451890238628256,2.642012596130371,0.00188
voxel__sub-02,kmeans_K15,30,15,26,0.23853211009174313,0.5504587155963303,2.2341006735922253,2.642012596130371,0.0
voxel__sub-02,kmeans_K15,31,15,17,0.1559633027522936,0.4036697247706422,2.492218064335832,2.642012596130371,5e-05
voxel__sub-02,kmeans_K15,32,15,13,0.11926605504587157,0.3486238532110092,2.502031168562809,2.642012596130371,7e-05
voxel__sub-02,kmeans_K15,33,15,16,0.14678899082568808,0.3761467889908257,2.535053856804745,2.642012596130371,0.001
voxel__sub-02,kmeans_K27,0,27,12,0.11009174311926606,0.26605504587155965,3.1267267868897153,3.1689705848693848,0.12347
voxel__sub-02,kmeans_K27,1,27,10,0.09174311926605505,0.22935779816513763,3.124125158027943,3.1689705848693848,0.11185
voxel__sub-02,kmeans_K27,2,27,10,0.09174311926605505,0.26605504587155965,2.8763619647520247,3.1689705848693848,0.0
voxel__sub-02,kmeans_K27,3,27,11,0.10091743119266056,0.24770642201834864,3.0359050837636525,3.1689705848693848,0.00132
voxel__sub-02,kmeans_K27,4,27,11,0.10091743119266056,0.25688073394495414,3.0508570920105518,3.1689705848693848,0.0029
voxel__sub-02,kmeans_K27,5,27,15,0.13761467889908258,0.30275229357798167,2.9142103293849053,3.1689705848693848,0.0
voxel__sub-02,kmeans_K27,6,27,11,0.10091743119266056,0.26605504587155965,2.9516509542785223,3.1689705848693848,1e-05
voxel__sub-02,kmeans_K27,7,27,16,0.14678899082568808,0.28440366972477066,3.058935021566019,3.1689705848693848,0.0047
voxel__sub-02,kmeans_K27,8,27,12,0.11009174311926606,0.28440366972477066,2.996821498964505,3.1689705848693848,0.00011
voxel__sub-02,kmeans_K27,9,27,12,0.11009174311926606,0.3211009174311927,2.8230785919788217,3.1689705848693848,0.0
voxel__sub-02,kmeans_K27,10,27,16,0.14678899082568808,0.29357798165137616,3.051136441052525,3.1689705848693848,0.00293
voxel__sub-02,kmeans_K27,11,27,10,0.09174311926605505,0.25688073394495414,3.0713642416827587,3.1689705848693848,0.00954
voxel__sub-02,kmeans_K27,12,27,14,0.12844036697247707,0.3394495412844037,2.861207355416645,3.1689705848693848,0.0
voxel__sub-02,kmeans_K27,13,27,8,0.07339449541284404,0.21100917431192662,3.113355981383823,3.1689705848693848,0.07221
voxel__sub-02,kmeans_K27,14,27,14,0.12844036697247707,0.27522935779816515,2.944323532158389,3.1689705848693848,1e-05
voxel__sub-02,kmeans_K27,15,27,11,0.10091743119266056,0.23853211009174313,3.0696285000196153,3.1689705848693848,0.00881
voxel__sub-02,kmeans_K27,16,27,19,0.1743119266055046,0.45871559633027525,2.635022202351888,3.1689705848693848,0.0
voxel__sub-02,kmeans_K27,17,27,12,0.11009174311926606,0.26605504587155965,3.032201816151998,3.1689705848693848,0.00103
voxel__sub-02,kmeans_K27,18,27,13,0.11926605504587157,0.29357798165137616,3.020760373635194,3.1689705848693848,0.00054
voxel__sub-02,kmeans_K27,19,27,15,0.13761467889908258,0.3302752293577982,2.950690869860524,3.1689705848693848,1e-05
voxel__sub-02,kmeans_K27,20,27,10,0.09174311926605505,0.23853211009174313,3.1367405797302563,3.1689705848693848,0.17884
voxel__sub-02,kmeans_K27,21,27,9,0.08256880733944955,0.22018348623853212,3.0899888323032654,3.1689705848693848,0.02498
voxel__sub-02,kmeans_K27,22,27,17,0.1559633027522936,0.3853211009174312,2.7311084238125307,3.1689705848693848,0.0
voxel__sub-02,kmeans_K27,23,27,11,0.10091743119266056,0.28440366972477066,3.0903260435814564,3.1689705848693848,0.02531
voxel__sub-02,kmeans_K27,24,27,10,0.09174311926605505,0.26605504587155965,2.9650835169489373,3.1689705848693848,1e-05
