subject,map,network,mean
3,unique_video_given_content,Default,0.027074957870544373
4,unique_video_given_content,Vis,0.03912446200645192
4,unique_video_given_content,SomMot,0.02792345837030489
4,unique_video_given_content,DorsAttn,0.0317512830987378
4,unique_video_given_content,SalVentAttn,0.02520042348339433
4,unique_video_given_content,Limbic,0.02238414236214557
4,unique_video_given_content,Cont,0.022133312695481515
4,unique_video_given_content,Default,0.02507120202978011
5,unique_video_given_content,Vis,0.034258481221865124
5,unique_video_given_content,SomMot,0.032356788035958976
5,unique_video_given_content,DorsAttn,0.037093078332593135
5,unique_video_given_content,SalVentAttn,0.030268009210543425
5,unique_video_given_content,Limbic,0.0267931581281706
5,unique_video_given_content,Cont,0.0290308880409586
5,unique_video_given_content,Default,0.025683787050324456
1,unique_content_given_video,Vis,0.006629430130772047
1,unique_content_given_video,SomMot,0.002680976670929339
1,unique_content_given_video,DorsAttn,0.002989724859230279
1,unique_content_given_video,SalVentAttn,0.00260233627557758
1,unique_content_given_video,Limbic,0.0031713647131962042
1,unique_content_given_video,Cont,0.0036139825819851167
1,unique_content_given_video,Default,0.003410851998553049
2,unique_content_given_video,Vis,0.010213947241252092
2,unique_content_given_video,SomMot,0.003972368532519843
2,unique_content_given_video,DorsAttn,0.0011294306787879523
2,unique_content_given_video,SalVentAttn,0.0015270370059378736
2,unique_content_given_video,Limbic,0.004312268413920867
2,unique_content_given_video,Cont,0.003947094352266036
2,unique_content_given_video,Default,0.004333321146411175
3,unique_content_given_video,Vis,0.0064682575477853135
3,unique_content_given_video,SomMot,0.004009215207886449
3,unique_content_given_video,DorsAttn,0.0021940198388422506
3,unique_content_given_video,SalVentAttn,0.002361870057438255
3,unique_content_given_video,Limbic,0.003142949432005305
3,unique_content_given_video,Cont,0.0029684576184798583
3,unique_content_given_video,Default,0.0018370246528281594
4,unique_content_given_video,Vis,0.007033646497990957
4,unique_content_given_video,SomMot,0.003434532164395356
4,unique_content_given_video,DorsAttn,0.001804104741203311
4,unique_content_given_video,SalVentAttn,0.0014079045981161985
4,unique_content_given_video,Limbic,0.0013827513057500602
4,unique_content_given_video,Cont,0.004599844725547772
4,unique_content_given_video,Default,0.00225969451685331
5,unique_content_given_video,Vis,0.004654751504859172
5,unique_content_given_video,SomMot,0.0015863409197694935
5,unique_content_given_video,DorsAttn,0.0015653695677136468
5,unique_content_given_video,SalVentAttn,0.0021168136282060427
5,unique_content_given_video,Limbic,0.0023750964063957883
5,unique_content_given_video,Cont,0.0002899096060845763
5,unique_content_given_video,Default,0.0019022603170463775
1,commonality_video_content,Vis,0.021017852794535292
1,commonality_video_content,SomMot,0.028480791376978606
1,commonality_video_content,DorsAttn,0.05802396914153172
1,commonality_video_content,SalVentAttn,0.011711081377094817
1,commonality_video_content,Limbic,0.016518121134125416
1,commonality_video_content,Cont,0.026918239520918947
1,commonality_video_content,Default,0.02446220298503953
2,commonality_video_content,Vis,0.03860899137935696
2,commonality_video_content,SomMot,0.046396797725125984
2,commonality_video_content,DorsAttn,0.07433493233960078
2,commonality_video_content,SalVentAttn,0.015693684509425147
2,commonality_video_content,Limbic,0.02338474527346721
2,commonality_video_content,Cont,0.04998597935768956
2,commonality_video_content,Default,0.04830848421002723
3,commonality_video_content,Vis,0.03073851281737765
3,commonality_video_content,SomMot,0.03211228923315583
3,commonality_video_content,DorsAttn,0.08432504214165452
3,commonality_video_content,SalVentAttn,0.009125128512056904
3,commonality_video_content,Limbic,0.004346455339316085
3,commonality_video_content,Cont,0.019464407897501517
3,commonality_video_content,Default,0.01696397431431196
4,commonality_video_content,Vis,0.02442925174378171
4,commonality_video_content,SomMot,0.02626346468734785
4,commonality_video_content,DorsAttn,0.05410086439816718
4,commonality_video_content,SalVentAttn,0.001127240786229991
4,commonality_video_content,Limbic,0.007470631980709621
4,commonality_video_content,Cont,0.0070873660599096505
4,commonality_video_content,Default,0.01088035737247624
5,commonality_video_content,Vis,-0.000836490427262903
5,commonality_video_content,SomMot,0.01602837186101788
5,commonality_video_content,DorsAttn,0.050683568820888134
5,commonality_video_content,SalVentAttn,-0.005367276911069598
5,commonality_video_content,Limbic,-0.0030506277105653012
5,commonality_video_content,Cont,-0.0035091751760145695
5,commonality_video_content,Default,0.016145668900923407
1,unique_av_vc,Vis,0.0009755168115361174
1,unique_av_vc,SomMot,0.0010558054826861009
1,unique_av_vc,DorsAttn,0.0007953207217269684
1,unique_av_vc,SalVentAttn,0.0007308498865274936
1,unique_av_vc,Limbic,0.0005627647374864029
1,unique_av_vc,Cont,0.000995247029674558
1,unique_av_vc,Default,0.0008061275667319668
2,unique_av_vc,Vis,0.0005895548799740721
