subject,map,cortical_mean,transmodal_minus_visual,gradient_spearman_r
3,fine_grained_vs_av,0.0010807441688711061,0.0010174245852411178,0.1334667091669323
4,fine_grained_vs_av,0.0004762576858966217,0.00035248163218584846,-0.11676972981081131
5,fine_grained_vs_av,0.000503251868879025,0.00039916688414805203,-0.39370502315639466
1,resolution_34d_vs_2d,0.0010288858473613367,0.00023817584189221423,0.4375292970581066
2,resolution_34d_vs_2d,0.001140482534105746,0.0008346470699610628,0.5071499821873886
3,resolution_34d_vs_2d,0.0012184024803954371,0.0010430459572588063,0.28589278682991764
4,resolution_34d_vs_2d,0.0005541546989177848,0.0004703758337929783,-0.07435077719235744
5,resolution_34d_vs_2d,0.0005473894407994204,0.0003346509491583713,-0.35759529747060914
1,unique_e3_vc,0.0004901373919972169,8.735073127473264e-05,0.32515721973262335
2,unique_e3_vc,0.0006376052457916733,0.00011541289474208127,0.38096000600003743
3,unique_e3_vc,0.00031481492276308975,0.00019691551446716595,-0.015541222132638328
4,unique_e3_vc,0.00036919444283041,0.00033226862758426953,0.44259145369658554
5,unique_e3_vc,0.00037306435737618604,0.00024269591722435614,0.21589522434515215
1,unique_e5_vc,0.0006442280929038871,8.38534656721219e-05,0.25968556053475333
2,unique_e5_vc,0.0008670149607603867,0.0003404938409948997,0.5134854592841205
3,unique_e5_vc,0.0003651025934584229,0.0003075395105575164,0.04836123975774848
4,unique_e5_vc,0.00048821063499130237,0.0002976043944526594,0.24953012206326286
5,unique_e5_vc,0.0004551619465848525,0.00013410253460337322,-0.05457127857049106
1,unique_e10_vc,0.0014677184567189056,3.676122275278384e-05,0.3636465227907674
2,unique_e10_vc,0.0014418236950584143,0.0008640735840001338,0.527420171376071
3,unique_e10_vc,0.0010148363473608502,0.0007877007381791597,0.16130482065512908
4,unique_e10_vc,0.0007528585493129156,0.0005301111663795035,0.10526709541934635
5,unique_e10_vc,0.0006629156540570075,0.00029407489976144256,-0.14453846586541166
1,unique_e20_vc,0.0013880558815149145,0.0001512426300839607,0.39050550315939475
2,unique_e20_vc,0.001747593881871582,0.0008784449806381249,0.5388299926874542
3,unique_e20_vc,0.0011256218559508617,0.0008836727132458699,0.16243845274032961
4,unique_e20_vc,0.0008772214269620915,0.0006971992903379749,0.04059981624885155
5,unique_e20_vc,0.0007842501906060631,0.00045867102080938467,-0.19712560703504395
